,Artist Name,variable,value
0,$uicideBoy$,Average Danceability,0.7324021095571029
1,(G)I-DLE,Average Danceability,0.7061241666666641
2,*NSYNC,Average Danceability,0.6323105218433501
3,070 Shake,Average Danceability,0.6544297619047621
4,100 gecs,Average Danceability,0.5810924951267056
5,2 Chainz,Average Danceability,0.7525914475108197
6,21 Savage,Average Danceability,0.7898774770742198
7,22 Savage,Average Danceability,0.6548931465756467
8,24hrs,Average Danceability,0.7420545190226434
9,24kGoldn,Average Danceability,0.7100312499999981
10,2Pac,Average Danceability,0.6815511931426412
11,347aidan,Average Danceability,0.7885166666666675
12,42 Dugg,Average Danceability,0.7732966356107973
13,5 Seconds of Summer,Average Danceability,0.5314834338862127
14,50 Cent,Average Danceability,0.6497892646528085
15,6LACK,Average Danceability,0.6461698412697923
16,6ix9ine,Average Danceability,0.7452839160839008
17,88-Keys,Average Danceability,0.6747430478819877
18,88rising,Average Danceability,0.6933405420991917
19,99 Percent,Average Danceability,0.7638123219373183
20,9lokknine,Average Danceability,0.8043920138888894
21,A Boogie Wit da Hoodie,Average Danceability,0.7207596969700589
22,A Day To Remember,Average Danceability,0.42705803832218625
23,A R I Z O N A,Average Danceability,0.6851836111111147
24,A Touch Of Class,Average Danceability,0.7150916666666594
25,A$AP ANT,Average Danceability,0.8485945308123244
26,A$AP Ferg,Average Danceability,0.7558880581406252
27,A$AP Mob,Average Danceability,0.7639919117647146
28,A$AP NAST,Average Danceability,0.7070223744270423
29,A$AP Rocky,Average Danceability,0.6809557516341815
30,A$AP Twelvyy,Average Danceability,0.7303188095238111
31,A$AP TyY,Average Danceability,0.6381702556022408
32,A-Trak,Average Danceability,0.7528377768065271
33,A7S,Average Danceability,0.6813226190475998
34,ABIR,Average Danceability,0.6549152876984126
35,ABRA,Average Danceability,0.7182646428571419
36,AC/DC,Average Danceability,0.4618849131020905
37,AJR,Average Danceability,0.5722960595777192
38,ALISA UENO,Average Danceability,0.7040211190146775
39,ALLBLACK,Average Danceability,0.8171208018207283
40,ATR Son Son,Average Danceability,0.6806649999999969
41,AUGUST 08,Average Danceability,0.6674294642857138
42,AURORA,Average Danceability,0.4432836709001698
43,Aaron Carter,Average Danceability,0.6700434148204766
44,Aazar,Average Danceability,0.7073233333333333
45,Ab-Soul,Average Danceability,0.600499493592643
46,Adam Levine,Average Danceability,0.5801048450592584
47,Adele,Average Danceability,0.564765681818196
48,Afrojack,Average Danceability,0.6923781213639307
49,Agnes,Average Danceability,0.5829000702419356
50,Agust D,Average Danceability,0.6154374999999996
51,Akon,Average Danceability,0.7018447435897434
52,Alan Walker,Average Danceability,0.6386416071428523
53,Alanis Morissette,Average Danceability,0.46204488208008465
54,Alec Benjamin,Average Danceability,0.662772916666665
55,Alessia Cara,Average Danceability,0.5799581410258888
56,Alesso,Average Danceability,0.6352947595704941
57,Alex Lacamoire,Average Danceability,0.46503407557354925
58,Alexander 23,Average Danceability,0.6373459643932042
59,Ali Gatie,Average Danceability,0.7090013888889024
60,Alicia Keys,Average Danceability,0.5666874740169947
61,Alina Baraz,Average Danceability,0.6004960737179487
62,Aloe Blacc,Average Danceability,0.625810617923745
63,Alok,Average Danceability,0.6831750000000067
64,Aly & AJ,Average Danceability,0.5978635257879373
65,Amanda Shires,Average Danceability,0.5167300757575737
66,Ambjaay,Average Danceability,0.9015132575757553
67,Aminé,Average Danceability,0.777246053113572
68,Ana Villafañe,Average Danceability,0.45532142857142854
69,Anderson .Paak,Average Danceability,0.6840046294714138
70,Andrelli,Average Danceability,0.6379650000000009
71,Andrew Andraos,Average Danceability,0.34733333333333327
72,Andrew Gold,Average Danceability,0.5911576826923077
73,Andrew McMahon in the Wilderness,Average Danceability,0.5624502049344041
74,Andrez Babii,Average Danceability,0.7607435555555545
75,André 3000,Average Danceability,0.676419053435017
76,Andy Grammer,Average Danceability,0.611988002622377
77,Andy Williams,Average Danceability,0.3335144050470058
78,Angels & Airwaves,Average Danceability,0.5189293220668221
79,Angèle,Average Danceability,0.6989799951802583
80,Anita Kerr Singers,Average Danceability,0.4643982738095251
81,Anitta,Average Danceability,0.8191596769024041
82,Anna of the North,Average Danceability,0.5807607692307698
83,Anne-Marie,Average Danceability,0.6487166666666507
84,Annie Lennox,Average Danceability,0.509930835781865
85,Annika Wells,Average Danceability,0.52945963721521
86,Ansel Elgort,Average Danceability,0.6277770785863414
87,Ant Clemons,Average Danceability,0.6273073338426234
88,Ant Saunders,Average Danceability,0.7045595238095264
89,Anthony Hamilton,Average Danceability,0.6039474395212631
90,Anthony Ramos,Average Danceability,0.5781788010867259
91,Anuel,Average Danceability,0.735349527919148
92,Anuel AA,Average Danceability,0.7611397727273886
93,Arcangel,Average Danceability,0.7176109523809491
94,Arctic Monkeys,Average Danceability,0.46235082750582557
95,Aretha Franklin,Average Danceability,0.4832025718510726
96,Ari Lennox,Average Danceability,0.7127416666666659
97,Ariana Grande,Average Danceability,0.6172524377703833
98,Arizona Zervas,Average Danceability,0.716816666666688
99,Arthur Hanlon,Average Danceability,0.58766298951049
100,Ashanti,Average Danceability,0.6539732487773673
101,Ashe,Average Danceability,0.5923273809523718
102,Ashley O,Average Danceability,0.7097000000000003
103,Ashnikko,Average Danceability,0.7210813974359103
104,Atlantic Holiday,Average Danceability,0.5649855769230759
105,Au/Ra,Average Danceability,0.6312500000000004
106,Audioslave,Average Danceability,0.4392453663003664
107,Audrey Mika,Average Danceability,0.5893583333333334
108,August Alsina,Average Danceability,0.5698392129629629
109,Auli'i Cravalho,Average Danceability,0.5013889367856535
110,Austin Lam,Average Danceability,0.7349238400488398
111,Austyn Johnson,Average Danceability,0.4457363203463204
112,Ava Max,Average Danceability,0.6409882738095223
113,Aventura,Average Danceability,0.7678581109542633
114,Avicii,Average Danceability,0.6085452777777389
115,Avril Lavigne,Average Danceability,0.5325741482169792
116,Axwell /\ Ingrosso,Average Danceability,0.6383188095238133
117,Ayo & Teo,Average Danceability,0.7566999999999872
118,B. Swanson Quartet,Average Danceability,0.5176813853383465
119,BANNERS,Average Danceability,0.5454996212121213
120,BENEE,Average Danceability,0.7136257692394052
121,BIA,Average Danceability,0.8766687500000118
122,BJ The Chicago Kid,Average Danceability,0.5752519777526394
123,BLACKPINK,Average Danceability,0.6952342460317524
124,BROCKHAMPTON,Average Danceability,0.665076886312206
125,BRONSON,Average Danceability,0.620647619047619
126,BRS Kash,Average Danceability,0.8875
127,BTS,Average Danceability,0.592669789980578
128,BURNS,Average Danceability,0.6871866666666666
129,Babes Wodumo,Average Danceability,0.8292139010989008
130,Baby Goth,Average Danceability,0.7304726495726499
131,Baby Keem,Average Danceability,0.831442857142856
132,Baby Rose,Average Danceability,0.5986460150642687
133,Babyface,Average Danceability,0.633064183871684
134,Backstreet Boys,Average Danceability,0.6151067207244487
135,Bad Bunny,Average Danceability,0.7717087499998733
136,Bahari,Average Danceability,0.6454541666666651
137,Baka Not Nice,Average Danceability,0.8653696668482208
138,Band Aid,Average Danceability,0.5595529248170509
139,Banda MS de Sergio Lizárraga,Average Danceability,0.7104693688949942
140,Bankrol Hayden,Average Danceability,0.7703392857142878
141,Bantu,Average Danceability,0.7625250000000073
142,Bas,Average Danceability,0.7369506410256409
143,Bass Santana,Average Danceability,0.8112944586663335
144,Bastille,Average Danceability,0.5542202615455467
145,Bazzi,Average Danceability,0.6745620721709374
146,Bea Miller,Average Danceability,0.6917131493506476
147,Bebe Rexha,Average Danceability,0.6975595238096074
148,Beck,Average Danceability,0.6257367556401932
149,Becky G,Average Danceability,0.7728968749999948
150,Becky Hill,Average Danceability,0.6054102869352839
151,Bee Gees,Average Danceability,0.5451366050893548
152,Belly,Average Danceability,0.7480553030303023
153,Ben Howard,Average Danceability,0.452783768115942
154,Ben Platt,Average Danceability,0.5620548120300753
155,Benny The Butcher,Average Danceability,0.5991753408141566
156,Beyoncé,Average Danceability,0.5617904346059533
157,Bhad Bhabie,Average Danceability,0.8508300000000005
158,Big Freedia,Average Danceability,0.7108350000000001
159,Big Lenbo,Average Danceability,0.6823912825600327
160,Big Rube,Average Danceability,0.6010101022506904
161,Big Sean,Average Danceability,0.6109948374540032
162,Big Shaq,Average Danceability,0.7584533594394309
163,Bill Withers,Average Danceability,0.6312800649909078
164,Billie Eilish,Average Danceability,0.6545626443007386
165,Billy Currington,Average Danceability,0.6421702272727232
166,Billy Eichner,Average Danceability,0.4892641325536062
167,Billy Idol,Average Danceability,0.5389877459591063
168,Billy Raffoul,Average Danceability,0.6030414433612983
169,Billy Ray Cyrus,Average Danceability,0.5193704563491848
170,Bing Crosby,Average Danceability,0.5132325802640868
171,Bipolar Sunshine,Average Danceability,0.6986799999999996
172,Blac Youngsta,Average Danceability,0.7824285014985026
173,Black Coffee,Average Danceability,0.7067310277088479
174,Black Eyed Peas,Average Danceability,0.7759467577030502
175,Black Thought,Average Danceability,0.6019304743968374
176,Blake Shelton,Average Danceability,0.5654434159141509
177,Blanco Brown,Average Danceability,0.6530323129251774
178,BlocBoy JB,Average Danceability,0.7875832956259511
179,BloodPop®,Average Danceability,0.6664557640100767
180,Blue Ivy,Average Danceability,0.5354109259259258
181,Blue Öyster Cult,Average Danceability,0.4017552291074941
182,Blueface,Average Danceability,0.8502684821429389
183,"Bobby ""Boris"" Pickett",Average Danceability,0.6358537074398721
184,Bobby Helms,Average Danceability,0.5772168607736279
185,Bobby McFerrin,Average Danceability,0.48329773351648353
186,Bobby Shmurda,Average Danceability,0.7546286462418382
187,Boldy James,Average Danceability,0.5769096238755207
188,Bon Iver,Average Danceability,0.4644190874811409
189,Bonn,Average Danceability,0.6284793179271712
190,Bonnie McKee,Average Danceability,0.6487819444444444
191,Bonnie Tyler,Average Danceability,0.5285160485347986
192,Boyz II Men,Average Danceability,0.552655198967699
193,Bradley Cooper,Average Danceability,0.5726111622334751
194,Brando,Average Danceability,0.6752833333333551
195,Brandy,Average Danceability,0.5821469968062973
196,Brantley Gilbert,Average Danceability,0.4981546916638573
197,Brenda Lee,Average Danceability,0.6139627381378403
198,Brendon Urie,Average Danceability,0.6218597610451704
199,Brent Faiyaz,Average Danceability,0.597230833333351
200,Brett Eldredge,Average Danceability,0.5428745046620157
201,Brett Young,Average Danceability,0.5612784722500217
202,Bright Sparks,Average Danceability,0.6712666666666667
203,Bring Me The Horizon,Average Danceability,0.3604205839299587
204,Britney Spears,Average Danceability,0.6839275206200093
205,Brooks,Average Danceability,0.6654966666666652
206,Brooks & Dunn,Average Danceability,0.5865019025453386
207,Brray,Average Danceability,0.8077566666666637
208,Bruce Springsteen,Average Danceability,0.45062124368506207
209,Bruno Mars,Average Danceability,0.7209719444445047
210,Bruno Martini,Average Danceability,0.6974750000000123
211,Bryce Vine,Average Danceability,0.726470810855794
212,Bryson Tiller,Average Danceability,0.6388994653300907
213,Brytiago,Average Danceability,0.7860687500000009
214,Buddy,Average Danceability,0.7435243750000019
215,Buju Banton,Average Danceability,0.6745901782939282
216,Burl Ives,Average Danceability,0.5481883991702922
217,Burna Boy,Average Danceability,0.7318922590129158
218,Busta Rhymes,Average Danceability,0.6472799153806723
219,BØRNS,Average Danceability,0.5582721212121279
220,CADE,Average Danceability,0.6662250000000045
221,CHVRCHES,Average Danceability,0.559392278379528
222,CJ,Average Danceability,0.6607583333333349
223,CMC$,Average Danceability,0.6485533333333295
224,CNCO,Average Danceability,0.6764487012986894
225,CORPSE,Average Danceability,0.7413124999999985
226,CVBZ,Average Danceability,0.5765066666666687
227,Cage The Elephant,Average Danceability,0.4810980055470845
228,Calboy,Average Danceability,0.7254983333333332
229,Calum Scott,Average Danceability,0.5729376190476192
230,Calvin Harris,Average Danceability,0.6841603213916794
231,Cameron Seely,Average Danceability,0.4457363203463204
232,Camila Cabello,Average Danceability,0.6416896103892918
233,Cam’ron,Average Danceability,0.6352964261424513
234,Cappadonna,Average Danceability,0.6186019245052333
235,Captain Cuts,Average Danceability,0.6948883333333356
236,Cardi B,Average Danceability,0.8321988461535482
237,Carlie Hanson,Average Danceability,0.6695988571428574
238,Carly Pearce,Average Danceability,0.5730125080997583
239,Carly Rae Jepsen,Average Danceability,0.6818754248366016
240,Carnage,Average Danceability,0.6329635897435909
241,Carpenters,Average Danceability,0.3909294859608883
242,Carrie Underwood,Average Danceability,0.5164731651681664
243,Casey Veggies,Average Danceability,0.6970977863493576
244,Cash Cash,Average Danceability,0.5748720833333321
245,Cash Kidd,Average Danceability,0.744039299167035
246,Cashmere Cat,Average Danceability,0.6132981786326025
247,Casper Magico,Average Danceability,0.7478333333333218
248,Cast of Frozen 2,Average Danceability,0.3509888924720053
249,Cedric Gervais,Average Danceability,0.7547104166666667
250,CeeLo Green,Average Danceability,0.5793628384687209
251,Chan Se Park,Average Danceability,0.85
252,Chance the Rapper,Average Danceability,0.707857983193285
253,Chantel Jeffries,Average Danceability,0.7350111995284414
254,Charli XCX,Average Danceability,0.6159716669409011
255,Charlie Puth,Average Danceability,0.7045107829670005
256,Charlie Wilson,Average Danceability,0.658967296869797
257,Chase Rice,Average Danceability,0.5398166666666679
258,Cheat Codes,Average Danceability,0.6194416666666899
259,Chelsea Cutler,Average Danceability,0.5847837499999987
260,Chevy Woods,Average Danceability,0.7209564454748151
261,Chicago Children's Choir,Average Danceability,0.4420123713423053
262,Chief Keef,Average Danceability,0.6623603388464149
263,Childish Gambino,Average Danceability,0.6234162680910598
264,Childish Major,Average Danceability,0.7052079834054835
265,China Anne McClain,Average Danceability,0.5980587018602312
266,Chloe x Halle,Average Danceability,0.6260149198717935
267,Chris Brown,Average Danceability,0.638125162296447
268,Chris Cornell,Average Danceability,0.5205394180672268
269,Chris Jeday,Average Danceability,0.7508406545606195
270,Chris King,Average Danceability,0.6503012062937066
271,Chris Lane,Average Danceability,0.5500334242751161
272,Chris Rea,Average Danceability,0.5559127792011903
273,Chris Rock,Average Danceability,0.6291553537422558
274,Chris Stapleton,Average Danceability,0.5637661141636205
275,Chris Young,Average Danceability,0.5471809090909074
276,Christian Rich,Average Danceability,0.7228052380952383
277,Christina Aguilera,Average Danceability,0.5782514869281048
278,Christina Perri,Average Danceability,0.49011326923076914
279,Christine and the Queens,Average Danceability,0.6921691160130234
280,Chronixx,Average Danceability,0.6484616477272727
281,Chucho Flash,Average Danceability,0.7353005726809931
282,Chuck Berry,Average Danceability,0.6003214987789889
283,Chuck D,Average Danceability,0.7053085143288078
284,City Girls,Average Danceability,0.8164890544871498
285,Claire Rosinkranz,Average Danceability,0.6912267784947983
286,Clairo,Average Danceability,0.6978021349501369
287,Clams Casino,Average Danceability,0.45771641983016975
288,Clara Mae,Average Danceability,0.6374707142857192
289,Clean Bandit,Average Danceability,0.7028154542440946
290,Clever,Average Danceability,0.6705888688942686
291,Clinton Kane,Average Danceability,0.6232221254355401
292,Clipse,Average Danceability,0.652104246540495
293,Cochise,Average Danceability,0.7224000000000003
294,CocoRosie,Average Danceability,0.5816876864801866
295,Coi Leray,Average Danceability,0.6930534188034189
296,Colby O'Donis,Average Danceability,0.6690439391025641
297,Coldplay,Average Danceability,0.3932753943263814
298,Cole Swindell,Average Danceability,0.5540416666666665
299,Comethazine,Average Danceability,0.7745944444444555
300,Commodores,Average Danceability,0.6589536035353536
301,Conan Gray,Average Danceability,0.638227217062455
302,Conor Maynard,Average Danceability,0.5447564102563983
303,Cooliecut,Average Danceability,0.6909104324821714
304,Corbin,Average Danceability,0.6989239590956
305,Cordae,Average Danceability,0.7413093167701884
306,Corey,Average Danceability,0.669152016559829
307,Cory Gunz,Average Danceability,0.612999326204841
308,Cozz,Average Danceability,0.6863790548340559
309,Craig Owens,Average Danceability,0.5317463738445938
310,Craig Xen,Average Danceability,0.7294173809523811
311,Creedence Clearwater Revival,Average Danceability,0.5654517929817932
312,Curren$y,Average Danceability,0.616314126984127
313,Curtis Waters,Average Danceability,0.7081654761904715
314,Céline Dion,Average Danceability,0.4947604764952539
315,D Smoke,Average Danceability,0.6550082074175825
316,D33J,Average Danceability,0.6233259848484847
317,D3szn,Average Danceability,0.8369265384615385
318,DB Omerta,Average Danceability,0.8090974036856389
319,DDG,Average Danceability,0.8747547619047459
320,DIXSON,Average Danceability,0.59440957590612
321,DJ Diddy,Average Danceability,0.739
322,DJ Durel,Average Danceability,0.8555215277777777
323,DJ ESCO,Average Danceability,0.7885067962969585
324,DJ Jazzy Jeff & The Fresh Prince,Average Danceability,0.7427880659646479
325,DJ Khaled,Average Danceability,0.596191400284382
326,DJ Luian,Average Danceability,0.7548493055555614
327,DJ Premier,Average Danceability,0.6448333333333319
328,DJ Snake,Average Danceability,0.6628781427893505
329,DJ SpinKing,Average Danceability,0.6880902777777791
330,DJDS,Average Danceability,0.5760514285714284
331,DMX,Average Danceability,0.6493485075608498
332,DNCE,Average Danceability,0.7107219207388038
333,DVBBS,Average Danceability,0.6828061111111159
334,DaBaby,Average Danceability,0.7904176998005593
335,DaHeala,Average Danceability,0.58475
336,DaVido,Average Danceability,0.7344485294117648
337,DaVionne,Average Danceability,0.5831218828320799
338,Daddy Yankee,Average Danceability,0.7087665990695249
339,Daft Punk,Average Danceability,0.4580536618457349
340,Dagny,Average Danceability,0.6204333333333331
